INPUT:name	INPUT:text	OUTPUT:result	OUTPUT:no_name	GOLDEN:result	GOLDEN:no_name	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
Анна Павловна Шерер	"И он с теми свободными и фамильярными, грациозными движениями, которые его отличали, взял за руку фрейлину, поцеловал ее и, поцеловав, помахал фрейлинскою рукой, развалившись на креслах и глядя в сторону.
- Подождите , - сказала Анна Павловна, соображая. - Я нынче же поговорю с Лизой (женой молодого Болконского). И, может быть, это уладится. Я в вашем семействе начну обучаться ремеслу старой девки."	"{""label"":""name""\,""offset"":229\,""length"":13\,""segment"":""Анна Павловна""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee49da3a6e07096702fd64	00024075f0--63ee2286cf13316daf6b81b4	00024075f0--63ee49da3a6e07096702fd64	7c5ee18df63a487258f880213ddaad44	APPROVED	2023-02-16T15:20:58.554	+	
Князь Василий Курагин	"- Я думаю, - сказал князь улыбаясь, - что ежели бы вас послали вместо нашего милого Винценгероде, вы бы взяли приступом согласие прусского короля. Вы так красноречивы. Вы дадите мне чаю?
- Сейчас. A propos, - прибавила она, опять успокоиваясь, - нынче у меня два очень интересные человека, Кстати, - виконт Мортемар, он в родстве с Монморанси чрез Роганов, одна из лучших фамилий Франции. Это один из хороших эмигрантов, из настоящих. И потом аббат Морио: вы знаете этот глубокий ум? Он был принят государем. Вы знаете?
- А! Я очень рад буду, - сказал князь. - Скажите, - прибавил он, как будто только что вспомнив что-то и особенно-небрежно, тогда как то, о чем он спрашивал, было главною целью его посещения, - правда, что императрица-мать желает назначения барона Функе первым секретарем в Вену? Этот барон, кажется, ничтожная личность. - Князь Василий желал определить сына на это место, которое через императрицу Марию Феодоровну старались доставить барону.
Анна Павловна почти закрыла глаза в знак того, что ни она, ни кто другой не могут судить про то, что угодно или нравится императрице."	"{""label"":""name""\,""offset"":20\,""length"":5\,""segment"":""князь""},{""label"":""name""\,""offset"":552\,""length"":5\,""segment"":""князь""},{""label"":""name""\,""offset"":842\,""length"":13\,""segment"":""Князь Василий""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee49e74f6c9f2d263b8648	00024075f0--63ee2284cf13316daf6b818f	00024075f0--63ee49e74f6c9f2d263b8648	99eaa7daaa9241c38f2529458e9cccbf	APPROVED	2023-02-16T15:21:11.844	+	
Князь Василий Курагин	"- Как вам сказать? - сказал князь холодным, скучающим тоном. - Что решили? Решили, что Бонапарте сжег свои корабли; и мы тоже, кажется, готовы сжечь наши. - Князь Василий говорил всегда лениво, как актер говорит роль старой пиесы. Анна Павловна Шерер, напротив, несмотря на свои сорок лет, была преисполнена оживления и порывов.
Быть энтузиасткой сделалось ее общественным положением, и иногда, когда ей даже того не хотелось, она, чтобы не обмануть ожиданий людей, знавших ее, делалась энтузиасткой. Сдержанная улыбка, игравшая постоянно на лице Анны Павловны, хотя и не шла к ее отжившим чертам, выражала, как у избалованных детей, постоянное сознание своего милого недостатка, от которого она не хочет, не может и не находит нужным исправляться.
В середине разговора про политические действия Анна Павловна разгорячилась."	"{""label"":""name""\,""offset"":28\,""length"":5\,""segment"":""князь""},{""label"":""name""\,""offset"":157\,""length"":13\,""segment"":""Князь Василий""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee49febe563e67c1e7f852	00024075f0--63ee2283cf13316daf6b8180	00024075f0--63ee49febe563e67c1e7f852	44053e53212aaf8d21f284f1328a3c4b	APPROVED	2023-02-16T15:21:34.494	+	
Князь Василий Курагин	"- Ну, что, князь, Генуа и Лукка стали не больше, как поместьями фамилии Бонапарте. Нет, я вас предупреждаю, если вы мне не скажете, что у нас война, если вы еще позволите себе защищать все гадости, все ужасы этого Антихриста (право, я верю, что он Антихрист) - я вас больше не знаю, вы уж не друг мой, вы уж не мой верный раб, как вы говорите. Ну, здравствуйте, здравствуйте. Я вижу, что я вас пугаю, садитесь и рассказывайте.
Так говорила в июле 1805 года известная Анна Павловна Шерер, фрейлина и приближенная императрицы Марии Феодоровны, встречая важного и чиновного князя Василия, первого приехавшего на ее вечер. Анна Павловна кашляла несколько дней, у нее был грипп , как она говорила (грипп был тогда новое слово, употреблявшееся только редкими). В записочках, разосланных утром с красным лакеем, было написано без различия во всех:
Если y вас, граф (или князь), нет в виду ничего лучшего и если перспектива вечера у бедной больной не слишком вас пугает, то я буду очень рада видеть вас нынче у себя между семью и десятью часами. Анна Шерер."	"{""label"":""name""\,""offset"":571\,""length"":13\,""segment"":""князя Василия""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee4a08adfd87755c505e36	00024075f0--63ee2282cf13316daf6b8170	00024075f0--63ee4a08adfd87755c505e36	fe9be7ea3e9063853b15945b48ca0337	APPROVED	2023-02-16T15:21:44.420	+	
Анна Павловна Шерер	"- Я думаю, - сказал князь улыбаясь, - что ежели бы вас послали вместо нашего милого Винценгероде, вы бы взяли приступом согласие прусского короля. Вы так красноречивы. Вы дадите мне чаю?
- Сейчас. A propos, - прибавила она, опять успокоиваясь, - нынче у меня два очень интересные человека, Кстати, - виконт Мортемар, он в родстве с Монморанси чрез Роганов, одна из лучших фамилий Франции. Это один из хороших эмигрантов, из настоящих. И потом аббат Морио: вы знаете этот глубокий ум? Он был принят государем. Вы знаете?
- А! Я очень рад буду, - сказал князь. - Скажите, - прибавил он, как будто только что вспомнив что-то и особенно-небрежно, тогда как то, о чем он спрашивал, было главною целью его посещения, - правда, что императрица-мать желает назначения барона Функе первым секретарем в Вену? Этот барон, кажется, ничтожная личность. - Князь Василий желал определить сына на это место, которое через императрицу Марию Феодоровну старались доставить барону.
Анна Павловна почти закрыла глаза в знак того, что ни она, ни кто другой не могут судить про то, что угодно или нравится императрице."	"{""label"":""name""\,""offset"":963\,""length"":13\,""segment"":""Анна Павловна""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee4a09b726f26807959ad1	00024075f0--63ee2284cf13316daf6b818b	00024075f0--63ee4a09b726f26807959ad1	36ba569905786cc93b8929be6e8c6a21	APPROVED	2023-02-16T15:21:45.115	+	
Анна Павловна Шерер	"- Барон Функе рекомендован императрице-матери ее сестрою, - только сказала она грустным, сухим тоном. В то время, как Анна Павловна назвала императрицу, лицо ее вдруг представило глубокое и искреннее выражение преданности и уважения, соединенное с грустью, что с ней бывало каждый раз, когда она в разговоре упоминала о своей высокой покровительнице. Она сказала, что ее величество изволила оказать барону Функе много уважения, и опять взгляд ее подернулся грустью.
Князь равнодушно замолк. Анна Павловна, с свойственною ей придворною и женскою ловкостью и быстротою такта, захотела и щелконуть князя за то, что он дерзнул так отозваться о лице, рекомендованном императрице, и в то же время утешить его.
- Кстати о вашей семье, - сказала она, - знаете ли, что ваша дочь с тех пор, как выезжает, составляет восторг всего общества. Ее находят прекрасною, как день.
Князь наклонился в знак уважения и признательности.
- Я часто думаю, - продолжала Анна Павловна после минутного молчания, подвигаясь к князю и ласково улыбаясь ему, как будто выказывая этим, что политические и светские разговоры кончены и теперь начинается задушевный, - я часто думаю, как иногда несправедливо распределяется счастие жизни. За что вам судьба дала таких двух славных детей (исключая Анатоля, вашего меньшого, я его не люблю, - вставила она безапелляционно, приподняв брови) - таких прелестных детей? А вы, право, менее всех цените их и потому их не стоите.
И она улыбнулась своею восторженною улыбкой.
- Чего вы хотите? Лафатер сказал бы, что у меня нет шишки родительской любви, - сказал князь."	"{""label"":""name""\,""offset"":118\,""length"":13\,""segment"":""Анна Павловна""},{""label"":""name""\,""offset"":491\,""length"":13\,""segment"":""Анна Павловна""},{""label"":""name""\,""offset"":945\,""length"":13\,""segment"":""Анна Павловна""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee4a0b4f6c9f2d263b8b9a	00024075f0--63ee2284cf13316daf6b8191	00024075f0--63ee4a0b4f6c9f2d263b8b9a	44eef4606a226568365db2d5cd849c91	APPROVED	2023-02-16T15:21:47.488	+	
Анна Павловна Шерер	"- Ну, что, князь, Генуа и Лукка стали не больше, как поместьями фамилии Бонапарте. Нет, я вас предупреждаю, если вы мне не скажете, что у нас война, если вы еще позволите себе защищать все гадости, все ужасы этого Антихриста (право, я верю, что он Антихрист) - я вас больше не знаю, вы уж не друг мой, вы уж не мой верный раб, как вы говорите. Ну, здравствуйте, здравствуйте. Я вижу, что я вас пугаю, садитесь и рассказывайте.
Так говорила в июле 1805 года известная Анна Павловна Шерер, фрейлина и приближенная императрицы Марии Феодоровны, встречая важного и чиновного князя Василия, первого приехавшего на ее вечер. Анна Павловна кашляла несколько дней, у нее был грипп , как она говорила (грипп был тогда новое слово, употреблявшееся только редкими). В записочках, разосланных утром с красным лакеем, было написано без различия во всех:
Если y вас, граф (или князь), нет в виду ничего лучшего и если перспектива вечера у бедной больной не слишком вас пугает, то я буду очень рада видеть вас нынче у себя между семью и десятью часами. Анна Шерер."	"{""label"":""name""\,""offset"":467\,""length"":19\,""segment"":""Анна Павловна Шерер""},{""label"":""name""\,""offset"":619\,""length"":13\,""segment"":""Анна Павловна""},{""label"":""name""\,""offset"":1038\,""length"":10\,""segment"":""Анна Шерер""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee4a0f23621c588640a9bc	00024075f0--63ee2282cf13316daf6b8169	00024075f0--63ee4a0f23621c588640a9bc	c47eaf1ddfab7ae297edfa3134f47de6	APPROVED	2023-02-16T15:21:51.335	+	
Князь Василий Курагин	"- О! какое жестокое нападение! - отвечал, нисколько не смутясь такою встречей, вошедший князь, в придворном, шитом мундире, в чулках, башмаках, при звездах, с светлым выражением плоского лица. Он говорил на том изысканном французском языке, на котором не только говорили, но и думали наши деды, и с теми тихими, покровительственными интонациями, которые свойственны состаревшемуся в свете и при дворе значительному человеку. Он подошел к Анне Павловне, поцеловал ее руку, подставив ей свою надушенную и сияющую лысину, и покойно уселся на диване.
- Прежде всего скажите, как ваше здоровье? Успокойте друга, - сказал он, не изменяя голоса и тоном, в котором из-за приличия и участия просвечивало равнодушие и даже насмешка.
- Как можно быть здоровой... когда нравственно страдаешь? Разве можно оставаться спокойною в наше время, когда есть у человека чувство? - сказала Анна Павловна. - Вы весь вечер у меня, надеюсь?
- А праздник английского посланника? Нынче середа. Мне надо показаться там, - сказал князь. - Дочь заедет за мной и повезет меня.
- Я думала, что нынешний праздник отменен. Признаюсь, все эти праздники и фейерверки становятся несносны.
- Ежели бы знали, что вы этого хотите, праздник бы отменили, - сказал князь, по привычке, как заведенные часы, говоря вещи, которым он и не хотел, чтобы верили.
- Не мучьте меня. Ну, что же решили по случаю депеши Новосильцова? Вы все знаете."	"{""label"":""name""\,""offset"":88\,""length"":5\,""segment"":""князь""},{""label"":""name""\,""offset"":1002\,""length"":5\,""segment"":""князь""},{""label"":""name""\,""offset"":1223\,""length"":5\,""segment"":""князь""}"						https://toloka.yandex.ru/task/37778928/00024075f0--63ee4a117dae2e1b2361dbf9	00024075f0--63ee2283cf13316daf6b8179	00024075f0--63ee4a117dae2e1b2361dbf9	5a0877eeb1bf343e81170ef9356135cf	APPROVED	2023-02-16T15:21:53.994	+	
Князь Василий Курагин	"И он с теми свободными и фамильярными, грациозными движениями, которые его отличали, взял за руку фрейлину, поцеловал ее и, поцеловав, помахал фрейлинскою рукой, развалившись на креслах и глядя в сторону.
- Подождите , - сказала Анна Павловна, соображая. - Я нынче же поговорю с Лизой (женой молодого Болконского). И, может быть, это уладится. Я в вашем семействе начну обучаться ремеслу старой девки."		true					https://toloka.yandex.ru/task/37778928/00024075f0--63ee4a12be563e67c1e7fc00	00024075f0--63ee2287cf13316daf6b81c7	00024075f0--63ee4a12be563e67c1e7fc00	6865c6d858d9c3821ecdfcb52ffc82f9	APPROVED	2023-02-16T15:21:54.925	+	
Анна Павловна Шерер	"- Вы никогда не думали о том, чтобы женить вашего блудного сына Анатоля? Говорят, - сказала она, - что старые девицы имеют манию женить. Я еще не чувствую за собою этой слабости, но у меня есть одна маленькая особа , которая очень несчастлива с отцом, наша родственница, княжна Болконская. - Князь Василий не отвечал, хотя с свойственною светским людям быстротой соображения и памяти показал движением головы, что он принял к соображению эти сведения.
- Нет, вы знаете ли, что этот Анатоль мне стоит 40.000 в год, - сказал он, видимо, не в силах удерживать печальный ход своих мыслей. Он помолчал.
- Что будет через пять лет, если это пойдет так? Вот выгода быть отцом. Она богата, ваша княжна?
- Отец очень богат и скуп. Он живет в деревне. Знаете, этот известный князь Болконский, отставленный еще при покойном императоре и прозванный прусским королем. Он очень умный человек, но со странностями и тяжелый. Бедняжка несчастлива, как камни. У нее брат, вот что недавно женился на Lise Мейнен, адъютант Кутузова. Он будет нынче у меня.
- Послушайте, милая Аннет, - сказал князь, взяв вдруг свою собеседницу за руку и пригибая ее почему-то книзу. - Устройте мне это дело, и я навсегда ваш вернейший раб как пишет мне мой староста донесенья: покой-ер-п!. Она хорошей фамилии и богата. Всё, что мне нужно."		true					https://toloka.yandex.ru/task/37778928/00024075f0--63ee4a134f5af4288e81591d	00024075f0--63ee2286cf13316daf6b81ad	00024075f0--63ee4a134f5af4288e81591d	c900c790302630c8a8ef450212c58588	APPROVED	2023-02-16T15:21:55.741	+	
