INPUT:id	INPUT:url	INPUT:name	INPUT:text	INPUT:title	INPUT:no_per	INPUT:input_data	INPUT:assignment_id	GOLDEN:path	GOLDEN:no_per	GOLDEN:result	TASK:id
7	https://ilibrary.ru/text/12/p.6/index.html	Грушницкий	"Приезд его на Кавказ — также следствие его романтического фанатизма: я уверен, что накануне отъезда из отцовской деревни он говорил с мрачным видом какой-нибудь хорошенькой соседке, что он едет не так, просто, служить, но что ищет смерти, потому что... тут, он, верно, закрыл глаза рукою и продолжал так: «Нет, вы (или ты) этого не должны знать! Ваша чистая душа содрогнется! Да и к чему? Что я для вас! Поймете ли вы меня?» — и так далее.

Он мне сам говорил, что причина, побудившая его вступить в К. полк, останется вечною тайной между им и небесами.

Впрочем, в те минуты, когда сбрасывает трагическую мантию, Грушницкий довольно мил и забавен. Мне любопытно видеть его с женщинами: тут-то он, я думаю, старается!

Мы встретились старыми приятелями. Я начал его расспрашивать об образе жизни на водах и о примечательных лицах."	Герой нашего времени		"{""label"":""pro""\,""offset"":7\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":39\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":121\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":186\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":258\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":441\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":485\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":539\,""length"":2\,""segment"":""им""},{""label"":""per""\,""offset"":614\,""length"":10\,""segment"":""Грушницкий""},{""label"":""pro""\,""offset"":670\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":694\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":762\,""length"":3\,""segment"":""его""}"	0002427d51--63f9fa0c2666752d791d706e	no		"{""label"":""pro""\,""offset"":7\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":39\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":121\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":186\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":258\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":441\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":485\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":539\,""length"":2\,""segment"":""им""},{""label"":""per""\,""offset"":614\,""length"":10\,""segment"":""Грушницкий""},{""label"":""pro""\,""offset"":670\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":694\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":762\,""length"":3\,""segment"":""его""}"	000243b278--64009c59f7e0cf7f31831567
3	https://ilibrary.ru/text/96/p.1/index.html	Петр Кирсанов, отец Николая Петровича Кирсанова	В качестве генеральского сына Николай Петрович — хотя не только не отличался храбростью, но даже заслужил прозвище трусишки — должен был, подобно брату Павлу, поступить в военную службу; но он переломил себе ногу в самый тот день, когда уже прибыло известие об его определении, и, пролежав два месяца в постели, на всю жизнь остался «хроменьким». Отец махнул на него рукой и пустил его по штатской. Он повез его в Петербург, как только ему минул восемнадцатый год, и поместил его в университет. Кстати, брат его о ту пору вышел офицером в гвардейский полк. Молодые люди стали жить вдвоем, на одной квартире, под отдаленным надзором двоюродного дяди с материнской стороны, Ильи Колязина, важного чиновника. Отец их вернулся к своей дивизии и к своей супруге и лишь изредка присылал сыновьям большие четвертушки серой бумаги, испещренные размашистым писарским почерком. На конце этих четвертушек красовались старательно окруженные «выкрутасами» слова: «Пиотр Кирсаноф, генерал-майор». В 1835 году Николай Петрович вышел из университета кандидатом, и в том же году генерал Кирсанов, уволенный в отставку за неудачный смотр, приехал в Петербург с женою на житье. Он нанял было дом у Таврического сада и записался в английский клуб, но внезапно умер от удара. Агафоклея Кузьминишна скоро за ним последовала: она не могла привыкнуть к глухой столичной жизни; тоска отставного существованья ее загрызла.	Отца и дети		"{""label"":""per_oblique""\,""offset"":347\,""length"":4\,""segment"":""Отец""},{""label"":""pro""\,""offset"":399\,""length"":2\,""segment"":""Он""},{""label"":""per_oblique""\,""offset"":706\,""length"":4\,""segment"":""Отец""},{""label"":""per""\,""offset"":951\,""length"":14\,""segment"":""Пиотр Кирсаноф""},{""label"":""per_oblique""\,""offset"":967\,""length"":13\,""segment"":""генерал-майор""},{""label"":""per""\,""offset"":1062\,""length"":16\,""segment"":""генерал Кирсанов""},{""label"":""pro""\,""offset"":1159\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":1286\,""length"":3\,""segment"":""ним""}"	0002427d51--63fa113fe0f7f666b715f3c1	no		"{""label"":""per_oblique""\,""offset"":347\,""length"":4\,""segment"":""Отец""},{""label"":""pro""\,""offset"":399\,""length"":2\,""segment"":""Он""},{""label"":""per_oblique""\,""offset"":706\,""length"":4\,""segment"":""Отец""},{""label"":""per""\,""offset"":951\,""length"":14\,""segment"":""Пиотр Кирсаноф""},{""label"":""per_oblique""\,""offset"":967\,""length"":13\,""segment"":""генерал-майор""},{""label"":""per""\,""offset"":1062\,""length"":16\,""segment"":""генерал Кирсанов""},{""label"":""pro""\,""offset"":1159\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":1286\,""length"":3\,""segment"":""ним""}"	000243b278--64009c59f7e0cf7f31831568
3	https://ilibrary.ru/text/69/p.1/index.html	Родион Раскольников	«На какое дело хочу покуситься и в то же время каких пустяков боюсь! — подумал он с странною улыбкой. — Гм... да... всё в руках человека, и всё-то он мимо носу проносит, единственно от одной трусости... это уж аксиома... Любопытно, чего люди больше всего боятся? Нового шага, нового собственного слова они всего больше боятся... А впрочем, я слишком много болтаю. Оттого и ничего не делаю, что болтаю. Пожалуй, впрочем, и так: оттого болтаю, что ничего не делаю. Это я в этот последний месяц выучился болтать, лежа по целым суткам в углу и думая... о царе Горохе. Ну зачем я теперь иду? Разве я способен на это? Разве это серьезно? Совсем не серьезно. Так, ради фантазии сам себя тешу; игрушки! Да, пожалуй что и игрушки!»	Преступление и наказание		"{""label"":""pro""\,""offset"":79\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":340\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":467\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":573\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":593\,""length"":1\,""segment"":""я""}"	0002427d51--63fa8417870fa13968a3e68d	no		"{""label"":""pro""\,""offset"":79\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":340\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":467\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":573\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":593\,""length"":1\,""segment"":""я""}"	000243b278--64009c59f7e0cf7f31831569
14	https://ilibrary.ru/text/69/p.1/index.html	Родион Раскольников	Оглядевшись, он заметил, что стоит подле распивочной, в которую вход был с тротуара по лестнице вниз, в подвальный этаж. Из дверей, как раз в эту минуту, выходили двое пьяных и, друг друга поддерживая и ругая, взбирались на улицу. Долго не думая, Раскольников тотчас же спустился вниз. Никогда до сих пор не входил он в распивочные, но теперь голова его кружилась, и к тому же палящая жажда томила его. Ему захотелось выпить холодного пива, тем более что внезапную слабость свою он относил и к тому, что был голоден. Он уселся в темном и грязном углу, за липким столиком, спросил пива и с жадностию выпил первый стакан. Тотчас же всё отлегло, и мысли его прояснели. «Всё это вздор, — сказал он с надеждой, — и нечем тут было смущаться! Просто физическое расстройство! Один какой-нибудь стакан пива, кусок сухаря, — и вот, в один миг, крепнет ум, яснеет мысль, твердеют намерения! Тьфу, какое всё это ничтожество!..» Но, несмотря на этот презрительный плевок, он глядел уже весело, как будто внезапно освободясь от какого-то ужасного бремени, и дружелюбно окинул глазами присутствующих. Но даже и в эту минуту он отдаленно предчувствовал, что вся эта восприимчивость к лучшему была тоже болезненная.	Преступление и наказание		"{""label"":""pro""\,""offset"":13\,""length"":2\,""segment"":""он""},{""label"":""per""\,""offset"":247\,""length"":12\,""segment"":""Раскольников""},{""label"":""pro""\,""offset"":315\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":398\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":403\,""length"":3\,""segment"":""Ему""},{""label"":""pro""\,""offset"":474\,""length"":4\,""segment"":""свою""},{""label"":""pro""\,""offset"":479\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":517\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":651\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":691\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":959\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":1109\,""length"":2\,""segment"":""он""}"	0002427d51--63fae9d03d101946d968c4b4	no		"{""label"":""pro""\,""offset"":13\,""length"":2\,""segment"":""он""},{""label"":""per""\,""offset"":247\,""length"":12\,""segment"":""Раскольников""},{""label"":""pro""\,""offset"":315\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":398\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":403\,""length"":3\,""segment"":""Ему""},{""label"":""pro""\,""offset"":474\,""length"":4\,""segment"":""свою""},{""label"":""pro""\,""offset"":479\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":517\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":651\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":691\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":959\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":1109\,""length"":2\,""segment"":""он""}"	000243b278--64009c59f7e0cf7f3183156a
5	https://ilibrary.ru/text/1099/p.2/index.html	Дарья Александровна (Долли) Облонская, жена Степана Аркадьевича	"Глава 2

Степан Аркадьич был человек правдивый в отношении к себе самому. Он не мог обманывать себя и уверять себя, что он раскаивается в своем поступке. Он не мог раскаиваться теперь в том, в чем он раскаивался когда-то лет шесть тому назад, когда он сделал первую неверность жене. Он не мог раскаиваться в том, что он, тридцатичетырехлетний, красивый, влюбчивый человек, не был влюблен в жену, мать пяти живых и двух умерших детей, бывшую только годом моложе его. Он раскаивался только в том, что не умел лучше скрыть от жены. Но он чувствовал всю тяжесть своего положения и жалел жену, детей и себя. Может быть, он сумел бы лучше скрыть свои грехи от жены, если б ожидал, что это известие так на нее подействует. Ясно он никогда не обдумывал этого вопроса, но смутно ему представлялось, что жена давно догадывается, что он не верен ей, и смотрит на это сквозь пальцы. Ему даже казалось, что она, истощенная, состарившаяся, уже некрасивая женщина и ничем не замечательная, простая, только добрая мать семейства, по чувству справедливости должна быть снисходительна. Оказалось совсем противное."	Анна Каренина		"{""label"":""per_oblique""\,""offset"":277\,""length"":4\,""segment"":""жене""},{""label"":""per_oblique""\,""offset"":390\,""length"":4\,""segment"":""жену""},{""label"":""per_oblique""\,""offset"":396\,""length"":36\,""segment"":""мать пяти живых и двух умерших детей""},{""label"":""per_oblique""\,""offset"":523\,""length"":4\,""segment"":""жены""},{""label"":""per_oblique""\,""offset"":583\,""length"":4\,""segment"":""жену""},{""label"":""per_oblique""\,""offset"":654\,""length"":4\,""segment"":""жены""},{""label"":""pro""\,""offset"":699\,""length"":3\,""segment"":""нее""},{""label"":""per_oblique""\,""offset"":794\,""length"":4\,""segment"":""жена""},{""label"":""pro""\,""offset"":835\,""length"":2\,""segment"":""ей""},{""label"":""pro""\,""offset"":894\,""length"":3\,""segment"":""она""},{""label"":""per_oblique""\,""offset"":899\,""length"":49\,""segment"":""истощенная\, состарившаяся\, уже некрасивая женщина""},{""label"":""per_oblique""\,""offset"":951\,""length"":61\,""segment"":""ничем не замечательная\, простая\, только добрая мать семейства""}"	0002427d51--63fa711f7cf67476617fca7f	yes		"{""label"":""per_oblique""\,""offset"":277\,""length"":4\,""segment"":""жене""},{""label"":""per_oblique""\,""offset"":390\,""length"":4\,""segment"":""жену""},{""label"":""per_oblique""\,""offset"":396\,""length"":36\,""segment"":""мать пяти живых и двух умерших детей""},{""label"":""per_oblique""\,""offset"":523\,""length"":4\,""segment"":""жены""},{""label"":""per_oblique""\,""offset"":583\,""length"":4\,""segment"":""жену""},{""label"":""per_oblique""\,""offset"":654\,""length"":4\,""segment"":""жены""},{""label"":""pro""\,""offset"":699\,""length"":3\,""segment"":""нее""},{""label"":""per_oblique""\,""offset"":794\,""length"":4\,""segment"":""жена""},{""label"":""pro""\,""offset"":835\,""length"":2\,""segment"":""ей""},{""label"":""pro""\,""offset"":894\,""length"":3\,""segment"":""она""},{""label"":""per_oblique""\,""offset"":899\,""length"":49\,""segment"":""истощенная\, состарившаяся\, уже некрасивая женщина""},{""label"":""per_oblique""\,""offset"":951\,""length"":61\,""segment"":""ничем не замечательная\, простая\, только добрая мать семейства""}"	000243b278--64009c59f7e0cf7f3183156b
7	https://ilibrary.ru/text/1099/p.2/index.html	Степан Аркадьевич Облонский	"«Там видно будет», — сказал себе Степан Аркадьич и, встав, надел серый халат на голубой шелковой подкладке, закинул кисти узлом и, вдоволь забрав воздуха в свой широкий грудной ящик, привычным бодрым шагом вывернутых ног, так легко носивших его полное тело, подошел к окну, поднял стору и громко позвонил. На звонок тотчас же вошел старый друг, камердинер Матвей, неся платье, сапоги и телеграмму. Вслед за Матвеем вошел и цирюльник с припасами для бритья.

— Из присутствия есть бумаги? — спросил Степан Аркадьич, взяв телеграмму и садясь к зеркалу.

— На столе, — отвечал Матвей, взглянул вопросительно, с участием, на барина и, подождав немного, прибавил с хитрою улыбкой: — От хозяина извозчика приходили.

Степан Аркадьич ничего не ответил и только в зеркало взглянул на Матвея; во взгляде, которым они встретились в зеркале, видно было, как они понимают друг друга. Взгляд Степана Аркадьича как будто спрашивал: «Это зачем ты говоришь? разве ты не знаешь?»

Матвей положил руки в карманы своей жакетки, отставил ногу и молча, добродушно, чуть-чуть улыбаясь, посмотрел на своего барина.

— Я приказал прийти в то воскресенье, а до тех пор чтоб не беспокоили вас и себя понапрасну, — сказал он, видимо, приготовленную фразу.

Степан Аркадьич понял, что Матвей хотел пошутить и обратить на себя внимание. Разорвав телеграмму, он прочел ее, догадкой поправляя перевранные, как всегда, слова, и лицо его просияло."	Анна Каренина		"{""label"":""pro""\,""offset"":28\,""length"":4\,""segment"":""себе""},{""label"":""per""\,""offset"":33\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""pro""\,""offset"":241\,""length"":3\,""segment"":""его""},{""label"":""per""\,""offset"":498\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""per_oblique""\,""offset"":621\,""length"":6\,""segment"":""барина""},{""label"":""per""\,""offset"":711\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""pro""\,""offset"":804\,""length"":3\,""segment"":""они""},{""label"":""pro""\,""offset"":847\,""length"":3\,""segment"":""они""},{""label"":""per""\,""offset"":879\,""length"":17\,""segment"":""Степана Аркадьича""},{""label"":""per_oblique""\,""offset"":1084\,""length"":6\,""segment"":""барина""},{""label"":""pro""\,""offset"":1163\,""length"":3\,""segment"":""вас""},{""label"":""per""\,""offset"":1230\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""pro""\,""offset"":1329\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":1401\,""length"":3\,""segment"":""его""}"	0002427d51--63faf4ef2666752d792d32ba	no		"{""label"":""pro""\,""offset"":28\,""length"":4\,""segment"":""себе""},{""label"":""per""\,""offset"":33\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""pro""\,""offset"":241\,""length"":3\,""segment"":""его""},{""label"":""per""\,""offset"":498\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""per_oblique""\,""offset"":621\,""length"":6\,""segment"":""барина""},{""label"":""per""\,""offset"":711\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""pro""\,""offset"":804\,""length"":3\,""segment"":""они""},{""label"":""pro""\,""offset"":847\,""length"":3\,""segment"":""они""},{""label"":""per""\,""offset"":879\,""length"":17\,""segment"":""Степана Аркадьича""},{""label"":""per_oblique""\,""offset"":1084\,""length"":6\,""segment"":""барина""},{""label"":""pro""\,""offset"":1163\,""length"":3\,""segment"":""вас""},{""label"":""per""\,""offset"":1230\,""length"":15\,""segment"":""Степан Аркадьич""},{""label"":""pro""\,""offset"":1329\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":1401\,""length"":3\,""segment"":""его""}"	000243b278--64009c59f7e0cf7f3183156c
5	https://ilibrary.ru/text/96/p.1/index.html	Николай Петрович Кирсанов	"Слуга, из чувства приличия, а может быть, и не желая остаться под барским глазом, зашел под ворота и закурил трубку. Николай Петрович поник головой и начал глядеть на ветхие ступеньки крылечка: крупный пестрый цыпленок степенно расхаживал по ним, крепко стуча своими большими желтыми ногами; запачканная кошка недружелюбно посматривала на него, жеманно прикорнув на перила. Солнце пекло; из полутемных сеней постоялого дворика несло запахом теплого ржаного хлеба. Замечтался наш Николай Петрович. «Сын... кандидат... Аркаша...» — беспрестанно вертелось у него в голове; он пытался думать о чем-нибудь другом, и опять возвращались те же мысли. Вспомнилась ему покойница-жена... «Не дождалась!» — шепнул он уныло... Толстый сизый голубь прилетел на дорогу и поспешно отправился пить в лужицу возле колодца. Николай Петрович стал глядеть на него, а ухо его уже ловило стук приближающихся колес...

— Никак они едут-с, — доложил слуга, вынырнув из-под ворот.

Николай Петрович вскочил и устремил глаза вдоль дороги. Показался тарантас, запряженный тройкой ямских лошадей; в тарантасе мелькнул околыш студентской фуражки, знакомый очерк дорогого лица...

— Аркаша! Аркаша! — закричал Кирсанов, и побежал, и замахал руками... Несколько мгновений спустя его губы уже прильнули к безбородой, запыленной и загорелой щеке молодого кандидата."	Отца и дети		"{""label"":""per""\,""offset"":117\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""pro""\,""offset"":260\,""length"":6\,""segment"":""своими""},{""label"":""pro""\,""offset"":339\,""length"":4\,""segment"":""него""},{""label"":""per""\,""offset"":479\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""pro""\,""offset"":555\,""length"":4\,""segment"":""него""},{""label"":""pro""\,""offset"":570\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":655\,""length"":3\,""segment"":""ему""},{""label"":""pro""\,""offset"":702\,""length"":2\,""segment"":""он""},{""label"":""per""\,""offset"":805\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""pro""\,""offset"":850\,""length"":3\,""segment"":""его""},{""label"":""per""\,""offset"":956\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""per""\,""offset"":1179\,""length"":8\,""segment"":""Кирсанов""},{""label"":""pro""\,""offset"":1247\,""length"":3\,""segment"":""его""}"	0002427d51--63fad87eb9d1e33413795f6b	yes		"{""label"":""per""\,""offset"":117\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""pro""\,""offset"":260\,""length"":6\,""segment"":""своими""},{""label"":""pro""\,""offset"":339\,""length"":4\,""segment"":""него""},{""label"":""per""\,""offset"":479\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""pro""\,""offset"":555\,""length"":4\,""segment"":""него""},{""label"":""pro""\,""offset"":570\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":655\,""length"":3\,""segment"":""ему""},{""label"":""pro""\,""offset"":702\,""length"":2\,""segment"":""он""},{""label"":""per""\,""offset"":805\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""pro""\,""offset"":850\,""length"":3\,""segment"":""его""},{""label"":""per""\,""offset"":956\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""per""\,""offset"":1179\,""length"":8\,""segment"":""Кирсанов""},{""label"":""pro""\,""offset"":1247\,""length"":3\,""segment"":""его""}"	000243b278--64009c59f7e0cf7f3183156d
1	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	Анна Павловна Шерер	"- Ну, что, князь, Генуа и Лукка стали не больше, как поместьями фамилии Бонапарте. Нет, я вас предупреждаю, если вы мне не скажете, что у нас война, если вы еще позволите себе защищать все гадости, все ужасы этого Антихриста (право, я верю, что он Антихрист) - я вас больше не знаю, вы уж не друг мой, вы уж не мой верный раб, как вы говорите. Ну, здравствуйте, здравствуйте. Я вижу, что я вас пугаю, садитесь и рассказывайте.

Так говорила в июле 1805 года известная Анна Павловна Шерер, фрейлина и приближенная императрицы Марии Феодоровны, встречая важного и чиновного князя Василия, первого приехавшего на ее вечер. Анна Павловна кашляла несколько дней, у нее был грипп , как она говорила (грипп был тогда новое слово, употреблявшееся только редкими). В записочках, разосланных утром с красным лакеем, было написано без различия во всех:

Если y вас, граф (или князь), нет в виду ничего лучшего и если перспектива вечера у бедной больной не слишком вас пугает, то я буду очень рада видеть вас нынче у себя между семью и десятью часами. Анна Шерер."	Война и мир		"{""label"":""pro""\,""offset"":88\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":116\,""length"":3\,""segment"":""мне""},{""label"":""pro""\,""offset"":233\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":261\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":311\,""length"":3\,""segment"":""мой""},{""label"":""pro""\,""offset"":376\,""length"":1\,""segment"":""Я""},{""label"":""pro""\,""offset"":388\,""length"":1\,""segment"":""я""},{""label"":""per""\,""offset"":468\,""length"":19\,""segment"":""Анна Павловна Шерер""},{""label"":""per_oblique""\,""offset"":489\,""length"":52\,""segment"":""фрейлина и приближенная императрицы Марии Феодоровны""},{""label"":""pro""\,""offset"":610\,""length"":2\,""segment"":""ее""},{""label"":""per""\,""offset"":620\,""length"":13\,""segment"":""Анна Павловна""},{""label"":""pro""\,""offset"":660\,""length"":3\,""segment"":""нее""},{""label"":""pro""\,""offset"":680\,""length"":3\,""segment"":""она""},{""label"":""pro""\,""offset"":968\,""length"":1\,""segment"":""я""},{""label"":""per""\,""offset"":1040\,""length"":10\,""segment"":""Анна Шерер""}"	0002427d51--63fa6706fea63d24c74fcab7	no		"{""label"":""pro""\,""offset"":88\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":116\,""length"":3\,""segment"":""мне""},{""label"":""pro""\,""offset"":233\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":261\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":311\,""length"":3\,""segment"":""мой""},{""label"":""pro""\,""offset"":376\,""length"":1\,""segment"":""Я""},{""label"":""pro""\,""offset"":388\,""length"":1\,""segment"":""я""},{""label"":""per""\,""offset"":468\,""length"":19\,""segment"":""Анна Павловна Шерер""},{""label"":""per_oblique""\,""offset"":489\,""length"":52\,""segment"":""фрейлина и приближенная императрицы Марии Феодоровны""},{""label"":""pro""\,""offset"":610\,""length"":2\,""segment"":""ее""},{""label"":""per""\,""offset"":620\,""length"":13\,""segment"":""Анна Павловна""},{""label"":""pro""\,""offset"":660\,""length"":3\,""segment"":""нее""},{""label"":""pro""\,""offset"":680\,""length"":3\,""segment"":""она""},{""label"":""pro""\,""offset"":968\,""length"":1\,""segment"":""я""},{""label"":""per""\,""offset"":1040\,""length"":10\,""segment"":""Анна Шерер""}"	000243b278--64009c59f7e0cf7f3183156e
4	https://ilibrary.ru/text/1099/p.1/index.html	Дарья Александровна (Долли) Облонская, жена Степана Аркадьевича	"С ним случилось в эту минуту то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком постыдном. Он не сумел приготовить свое лицо к тому положению, в которое он становился перед женой после открытия его вины. Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить прощения, оставаться даже равнодушным — все было бы лучше того, что он сделал! — его лицо совершенно невольно («рефлексы головного мозга», — подумал Степан Аркадьич, который любил физиологию), совершенно невольно вдруг улыбнулось привычною, доброю и потому глупою улыбкой.

Эту глупую улыбку он не мог простить себе. Увидав эту улыбку, Долли вздрогнула, как от физической боли, разразилась, со свойственною ей горячностью, потоком жестоких слов и выбежала из комнаты. С тех пор она не хотела видеть мужа.

«Всему виной эта глупая улыбка», — думал Степан Аркадьич.

«Но что ж делать? что ж делать?» — с отчаянием говорил он себе и не находил ответа.

"	Анна Каренина		"{""label"":""per_oblique""\,""offset"":200\,""length"":5\,""segment"":""женой""},{""label"":""per""\,""offset"":632\,""length"":5\,""segment"":""Долли""},{""label"":""pro""\,""offset"":703\,""length"":2\,""segment"":""ей""},{""label"":""pro""\,""offset"":774\,""length"":3\,""segment"":""она""}"	0002427d51--63faea26b9d1e334137ac0ee	yes		"{""label"":""per_oblique""\,""offset"":200\,""length"":5\,""segment"":""женой""},{""label"":""per""\,""offset"":632\,""length"":5\,""segment"":""Долли""},{""label"":""pro""\,""offset"":703\,""length"":2\,""segment"":""ей""},{""label"":""pro""\,""offset"":774\,""length"":3\,""segment"":""она""}"	000243b278--64009c59f7e0cf7f3183156f
9	https://ilibrary.ru/text/12/p.6/index.html	Грушницкий	"— Вот княгиня Лиговская, — сказал Грушницкий, — и с нею дочь ее Мери, как она ее называет на английский манер. Они здесь только три дня.

— Однако ты уж знаешь ее имя?

— Да, я случайно слышал, — отвечал он, покраснев, — признаюсь, я не желаю с ними познакомиться. Эта гордая знать смотрит на нас, армейцев, как на диких. И какое им дело, есть ли ум под нумерованной фуражкой и сердце под толстой шинелью?

— Бедная шинель! — сказал я, усмехаясь, — а кто этот господин, который к ним подходит и так услужливо подает им стакан?

— О! — это московский франт Раевич! Он игрок: это видно тотчас по золотой огромной цепи, которая извивается по его голубому жилету. А что за толстая трость — точно у Робинзона Крузоэ! Да и борода кстати, и прическа à la moujik 3.

— Ты озлоблен против всего рода человеческого.

— И есть за что...

— О! право?

В это время дамы отошли от колодца и поравнялись с нами. Грушницкий успел принять драматическую позу с помощью костыля и громко отвечал мне по-французски:

— Mon cher, je haïs les hommes pour ne pas les mépriser car autrement la vie serait une farce trop dégoûtante 4."	Герой нашего времени		"{""label"":""per""\,""offset"":34\,""length"":10\,""segment"":""Грушницкий""},{""label"":""pro""\,""offset"":293\,""length"":3\,""segment"":""нас""},{""label"":""per_oblique""\,""offset"":298\,""length"":8\,""segment"":""армейцев""},{""label"":""pro""\,""offset"":433\,""length"":1\,""segment"":""я""},{""label"":""per""\,""offset"":897\,""length"":10\,""segment"":""Грушницкий""}"	0002427d51--63fad5a6f22f3c4b98aa40f6	no		"{""label"":""per""\,""offset"":34\,""length"":10\,""segment"":""Грушницкий""},{""label"":""pro""\,""offset"":293\,""length"":3\,""segment"":""нас""},{""label"":""per_oblique""\,""offset"":298\,""length"":8\,""segment"":""армейцев""},{""label"":""pro""\,""offset"":433\,""length"":1\,""segment"":""я""},{""label"":""per""\,""offset"":897\,""length"":10\,""segment"":""Грушницкий""}"	000243b278--64009c59f7e0cf7f31831570
