INPUT:id	INPUT:url	INPUT:name	INPUT:text	INPUT:title	OUTPUT:no_per	OUTPUT:result	GOLDEN:no_per	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
2	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	Анна Павловна Шерер	"- О! какое жестокое нападение! - отвечал, нисколько не смутясь такою встречей, вошедший князь, в придворном, шитом мундире, в чулках, башмаках, при звездах, с светлым выражением плоского лица. Он говорил на том изысканном французском языке, на котором не только говорили, но и думали наши деды, и с теми тихими, покровительственными интонациями, которые свойственны состаревшемуся в свете и при дворе значительному человеку. Он подошел к Анне Павловне, поцеловал ее руку, подставив ей свою надушенную и сияющую лысину, и покойно уселся на диване.
- Прежде всего скажите, как ваше здоровье? Успокойте друга, - сказал он, не изменяя голоса и тоном, в котором из-за приличия и участия просвечивало равнодушие и даже насмешка.
- Как можно быть здоровой... когда нравственно страдаешь? Разве можно оставаться спокойною в наше время, когда есть у человека чувство? - сказала Анна Павловна. - Вы весь вечер у меня, надеюсь?
- А праздник английского посланника? Нынче середа. Мне надо показаться там, - сказал князь. - Дочь заедет за мной и повезет меня.
- Я думала, что нынешний праздник отменен. Признаюсь, все эти праздники и фейерверки становятся несносны.
- Ежели бы знали, что вы этого хотите, праздник бы отменили, - сказал князь, по привычке, как заведенные часы, говоря вещи, которым он и не хотел, чтобы верили.
- Не мучьте меня. Ну, что же решили по случаю депеши Новосильцова? Вы все знаете."	Война и мир		"{""label"":""per""\,""offset"":438\,""length"":13\,""segment"":""Анне Павловне""},{""label"":""pro""\,""offset"":463\,""length"":2\,""segment"":""ее""},{""label"":""pro""\,""offset"":482\,""length"":2\,""segment"":""ей""},{""label"":""per""\,""offset"":871\,""length"":13\,""segment"":""Анна Павловна""},{""label"":""pro""\,""offset"":904\,""length"":4\,""segment"":""меня""},{""label"":""pro""\,""offset"":1053\,""length"":1\,""segment"":""Я""},{""label"":""pro""\,""offset"":1180\,""length"":2\,""segment"":""вы""},{""label"":""pro""\,""offset"":1332\,""length"":4\,""segment"":""меня""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63f9f2f1870fa1396893eff6	0002427d51--63f9e69c6e98d13e2ac08b1b	0002427d51--63f9f2f1870fa1396893eff6	65b12e4e69a7d9aa50afd3595e805c61	SUBMITTED	2023-02-25T11:37:21.532		
9	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	Анна Павловна Шерер	"И он с теми свободными и фамильярными, грациозными движениями, которые его отличали, взял за руку фрейлину, поцеловал ее и, поцеловав, помахал фрейлинскою рукой, развалившись на креслах и глядя в сторону.
- Подождите , - сказала Анна Павловна, соображая. - Я нынче же поговорю с Лизой (женой молодого Болконского). И, может быть, это уладится. Я в вашем семействе начну обучаться ремеслу старой девки."	Война и мир		"{""label"":""per""\,""offset"":230\,""length"":13\,""segment"":""Анна Павловна""},{""label"":""pro""\,""offset"":258\,""length"":1\,""segment"":""Я""},{""label"":""pro""\,""offset"":345\,""length"":1\,""segment"":""Я""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63f9f93cb9d1e3341364ea14	0002427d51--63f9e6a26e98d13e2ac08bb7	0002427d51--63f9f93cb9d1e3341364ea14	e5f81efb44c1a1d5f2cfd192027a8417	SUBMITTED	2023-02-25T12:04:12.702		
12	https://ilibrary.ru/text/12/p.6/index.html	Грушницкий	"Легче птички она к нему подскочила, нагнулась, подняла стакан и подала ему с телодвижением, исполненным невыразимой прелести; потом ужасно покраснела, оглянулась на галерею и, убедившись, что ее маменька ничего не видала, кажется, тотчас же успокоилась. Когда Грушницкий открыл рот, чтоб поблагодарить ее, она была уже далеко. Через минуту она вышла из галереи с матерью и франтом, но, проходя мимо Грушницкого, приняла вид такой чинный и важный — даже не обернулась, даже не заметила его страстного взгляда, которым он долго ее провожал, пока, спустившись с горы, она не скрылась за липками бульвара... Но вот ее шляпка мелькнула через улицу; она вбежала в ворота одного из лучших домов Пятигорска, за нею прошла княгиня и у ворот раскланялась с Раевичем.
Только тогда бедный юнкер заметил мое присутствие.
— Ты видел? — сказал он, крепко пожимая мне руку, — это просто ангел!
— Отчего? — спросил я с видом чистейшего простодушия.
— Разве ты не видал?
— Нет, видел: она подняла твой стакан. Если бы был тут сторож, то он сделал бы то же самое, и еще поспешнее, надеясь получить на водку. Впрочем, очень понятно, что ей стало тебя жалко: ты сделал такую ужасную гримасу, когда ступил на простреленную ногу..."	Герой нашего времени		"{""label"":""pro""\,""offset"":19\,""length"":4\,""segment"":""нему""},{""label"":""pro""\,""offset"":71\,""length"":3\,""segment"":""ему""},{""label"":""per""\,""offset"":260\,""length"":10\,""segment"":""Грушницкий""},{""label"":""per""\,""offset"":399\,""length"":11\,""segment"":""Грушницкого""},{""label"":""pro""\,""offset"":485\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":517\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":792\,""length"":3\,""segment"":""мое""},{""label"":""pro""\,""offset"":850\,""length"":3\,""segment"":""мне""},{""label"":""pro""\,""offset"":901\,""length"":1\,""segment"":""я""},{""label"":""pro""\,""offset"":944\,""length"":2\,""segment"":""ты""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63f9f983870fa1396894ff92	0002427d51--63f9e83bbcb5d37e2acac77b	0002427d51--63f9f983870fa1396894ff92	e5f81efb44c1a1d5f2cfd192027a8417	SUBMITTED	2023-02-25T12:05:23.779		
7	https://ilibrary.ru/text/12/p.6/index.html	Грушницкий	"Приезд его на Кавказ — также следствие его романтического фанатизма: я уверен, что накануне отъезда из отцовской деревни он говорил с мрачным видом какой-нибудь хорошенькой соседке, что он едет не так, просто, служить, но что ищет смерти, потому что... тут, он, верно, закрыл глаза рукою и продолжал так: «Нет, вы (или ты) этого не должны знать! Ваша чистая душа содрогнется! Да и к чему? Что я для вас! Поймете ли вы меня?» — и так далее.
Он мне сам говорил, что причина, побудившая его вступить в К. полк, останется вечною тайной между им и небесами.
Впрочем, в те минуты, когда сбрасывает трагическую мантию, Грушницкий довольно мил и забавен. Мне любопытно видеть его с женщинами: тут-то он, я думаю, старается!
Мы встретились старыми приятелями. Я начал его расспрашивать об образе жизни на водах и о примечательных лицах."	Герой нашего времени		"{""label"":""pro""\,""offset"":7\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":39\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":121\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":186\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":258\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":441\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":485\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":539\,""length"":2\,""segment"":""им""},{""label"":""per""\,""offset"":614\,""length"":10\,""segment"":""Грушницкий""},{""label"":""pro""\,""offset"":670\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":694\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":762\,""length"":3\,""segment"":""его""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63f9fa0c2666752d791d706e	0002427d51--63f9e836bcb5d37e2acac70c	0002427d51--63f9fa0c2666752d791d706e	e5f81efb44c1a1d5f2cfd192027a8417	SUBMITTED	2023-02-25T12:07:40.297		
2	https://ilibrary.ru/text/69/p.1/index.html	Родион Раскольников	"Не то чтоб он был так труслив и забит, совсем даже напротив; но с некоторого времени он был в раздражительном и напряженном состоянии, похожем на ипохондрию. Он до того углубился в себя и уединился от всех, что боялся даже всякой встречи, не только встречи с хозяйкой. Он был задавлен бедностью; но даже стесненное положение перестало в последнее время тяготить его. Насущными делами своими он совсем перестал и не хотел заниматься. Никакой хозяйки, в сущности, он не боялся, что бы та ни замышляла против него. Но останавливаться на лестнице, слушать всякий вздор про всю эту обыденную дребедень, до которой ему нет никакого дела, все эти приставания о платеже, угрозы, жалобы, и при этом самому изворачиваться, извиняться, лгать, — нет уж, лучше проскользнуть как-нибудь кошкой по лестнице и улизнуть, чтобы никто не видал.
Впрочем, на этот раз страх встречи с своею кредиторшей даже его самого поразил по выходе на улицу."	Преступление и наказание		"{""label"":""pro""\,""offset"":11\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":85\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":158\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":269\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":362\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":391\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":462\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":506\,""length"":4\,""segment"":""него""},{""label"":""pro""\,""offset"":609\,""length"":3\,""segment"":""ему""},{""label"":""pro""\,""offset"":887\,""length"":3\,""segment"":""его""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63f9fac53d101946d9529ff3	0002427d51--63f9e6b36e98d13e2ac08da0	0002427d51--63f9fac53d101946d9529ff3	e5f81efb44c1a1d5f2cfd192027a8417	SUBMITTED	2023-02-25T12:10:45.588		
9	https://ilibrary.ru/text/12/p.6/index.html	Княжна Мери, дочь княгини Лиговской	"— Вот княгиня Лиговская, — сказал Грушницкий, — и с нею дочь ее Мери, как она ее называет на английский манер. Они здесь только три дня.
— Однако ты уж знаешь ее имя?
— Да, я случайно слышал, — отвечал он, покраснев, — признаюсь, я не желаю с ними познакомиться. Эта гордая знать смотрит на нас, армейцев, как на диких. И какое им дело, есть ли ум под нумерованной фуражкой и сердце под толстой шинелью?
— Бедная шинель! — сказал я, усмехаясь, — а кто этот господин, который к ним подходит и так услужливо подает им стакан?
— О! — это московский франт Раевич! Он игрок: это видно тотчас по золотой огромной цепи, которая извивается по его голубому жилету. А что за толстая трость — точно у Робинзона Крузоэ! Да и борода кстати, и прическа à la moujik 3.
— Ты озлоблен против всего рода человеческого.
— И есть за что...
— О! право?
В это время дамы отошли от колодца и поравнялись с нами. Грушницкий успел принять драматическую позу с помощью костыля и громко отвечал мне по-французски:
— Mon cher, je haïs les hommes pour ne pas les mépriser car autrement la vie serait une farce trop dégoûtante 4."	Герой нашего времени		"{""label"":""per_oblique""\,""offset"":56\,""length"":4\,""segment"":""дочь""},{""label"":""per""\,""offset"":64\,""length"":4\,""segment"":""Мери""},{""label"":""pro""\,""offset"":78\,""length"":2\,""segment"":""ее""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63fa05797cf67476617384a3	0002427d51--63f9e839bcb5d37e2acac743	0002427d51--63fa05797cf67476617384a3	17ade270184d61a940f7107da74cf70d	SUBMITTED	2023-02-25T12:56:25.938		
9	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	Князь Василий Курагин	"И он с теми свободными и фамильярными, грациозными движениями, которые его отличали, взял за руку фрейлину, поцеловал ее и, поцеловав, помахал фрейлинскою рукой, развалившись на креслах и глядя в сторону.
- Подождите , - сказала Анна Павловна, соображая. - Я нынче же поговорю с Лизой (женой молодого Болконского). И, может быть, это уладится. Я в вашем семействе начну обучаться ремеслу старой девки."	Война и мир		"{""label"":""pro""\,""offset"":2\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":71\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":349\,""length"":5\,""segment"":""вашем""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63fa06848b2e143ff7e92ea1	0002427d51--63f9e6a26e98d13e2ac08bc3	0002427d51--63fa06848b2e143ff7e92ea1	5e7d747e7586f521ad660369d9c84a79	SUBMITTED	2023-02-25T13:00:52.567		
8	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	князь Николай Андреевич Болконский, отец Марии Болконской	"- Вы никогда не думали о том, чтобы женить вашего блудного сына Анатоля? Говорят, - сказала она, - что старые девицы имеют манию женить. Я еще не чувствую за собою этой слабости, но у меня есть одна маленькая особа , которая очень несчастлива с отцом, наша родственница, княжна Болконская. - Князь Василий не отвечал, хотя с свойственною светским людям быстротой соображения и памяти показал движением головы, что он принял к соображению эти сведения.
- Нет, вы знаете ли, что этот Анатоль мне стоит 40.000 в год, - сказал он, видимо, не в силах удерживать печальный ход своих мыслей. Он помолчал.
- Что будет через пять лет, если это пойдет так? Вот выгода быть отцом. Она богата, ваша княжна?
- Отец очень богат и скуп. Он живет в деревне. Знаете, этот известный князь Болконский, отставленный еще при покойном императоре и прозванный прусским королем. Он очень умный человек, но со странностями и тяжелый. Бедняжка несчастлива, как камни. У нее брат, вот что недавно женился на Lise Мейнен, адъютант Кутузова. Он будет нынче у меня.
- Послушайте, милая Аннет, - сказал князь, взяв вдруг свою собеседницу за руку и пригибая ее почему-то книзу. - Устройте мне это дело, и я навсегда ваш вернейший раб как пишет мне мой староста донесенья: покой-ер-п!. Она хорошей фамилии и богата. Всё, что мне нужно."	Война и мир		"{""label"":""per_oblique""\,""offset"":245\,""length"":5\,""segment"":""отцом""},{""label"":""per_oblique""\,""offset"":665\,""length"":5\,""segment"":""отцом""},{""label"":""per""\,""offset"":768\,""length"":16\,""segment"":""князь Болконский""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63fa07293af5365e9fb0426f	0002427d51--63f9e6a16e98d13e2ac08b9b	0002427d51--63fa07293af5365e9fb0426f	5e7d747e7586f521ad660369d9c84a79	SUBMITTED	2023-02-25T13:03:37.698		
14	https://ilibrary.ru/text/12/p.6/index.html	Княжна Мери, дочь княгини Лиговской	Молча с Грушницким спустились мы с горы и прошли по бульвару, мимо окон дома, где скрылась наша красавица. Она сидела у окна. Грушницкий, дернув меня за руку, бросил на нее один из тех мутно-нежных взглядов, которые так мало действуют на женщин. Я навел на нее лорнет и заметил, что она от его взгляда улыбнулась, а что мой дерзкий лорнет рассердил ее не на шутку. И как, в самом деле, смеет кавказский армеец наводить стеклышко на московскую княжну?..	Герой нашего времени		"{""label"":""per_oblique""\,""offset"":91\,""length"":14\,""segment"":""наша красавица""},{""label"":""pro""\,""offset"":107\,""length"":3\,""segment"":""Она""},{""label"":""pro""\,""offset"":169\,""length"":3\,""segment"":""нее""},{""label"":""per_oblique""\,""offset"":432\,""length"":17\,""segment"":""московскую княжну""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63fa08d3b2ea832f6f8a0e69	0002427d51--63f9e83ebcb5d37e2acac7b4	0002427d51--63fa08d3b2ea832f6f8a0e69	5e7d747e7586f521ad660369d9c84a79	SUBMITTED	2023-02-25T13:10:43.298		
4	https://ilibrary.ru/text/96/p.1/index.html	Николай Петрович Кирсанов	Между тем Николай Петрович успел, еще при жизни родителей и к немалому их огорчению, влюбиться в дочку чиновника Преполовенского, бывшего хозяина его квартиры, миловидную и, как говорится, развитую девицу: она в журналах читала серьезные статьи в отделе «Наук». Он женился на ней, как только минул срок траура, и, покинув министерство уделов, куда по протекции отец его записал, блаженствовал со своею Машей сперва на даче около Лесного института, потом в городе, в маленькой и хорошенькой квартире, с чистою лестницей и холодноватою гостиной, наконец — в деревне, где он поселился окончательно и где у него в скором времени родился сын Аркадий. Супруги жили очень хорошо и тихо: они почти никогда не расставались, читали вместе, играли в четыре руки на фортепьяно, пели дуэты; она сажала цветы и наблюдала за птичьим двором, он изредка ездил на охоту и занимался хозяйством, а Аркадий рос да рос — тоже хорошо и тихо. Десять лет прошло как сон. В 47-м году жена Кирсанова скончалась. Он едва вынес этот удар, поседел в несколько недель; собрался было за границу, чтобы хотя немного рассеяться... но тут настал 48-й год. Он поневоле вернулся в деревню и после довольно продолжительного бездействия занялся хозяйственными преобразованиями. В 55-м году он повез сына в университет; прожил с ним три зимы в Петербурге, почти никуда не выходя и стараясь заводить знакомства с молодыми товарищами Аркадия. На последнюю зиму он приехать не мог, — и вот мы видим его в мае месяце 1859 года, уже совсем седого, пухленького и немного сгорбленного: он ждет сына, получившего, как некогда он сам, звание кандидата.	Отца и дети		"{""label"":""per""\,""offset"":10\,""length"":16\,""segment"":""Николай Петрович""},{""label"":""pro""\,""offset"":262\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":366\,""length"":3\,""segment"":""его""},{""label"":""pro""\,""offset"":569\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":826\,""length"":2\,""segment"":""он""},{""label"":""per""\,""offset"":963\,""length"":9\,""segment"":""Кирсанова""},{""label"":""pro""\,""offset"":985\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":1121\,""length"":2\,""segment"":""Он""},{""label"":""pro""\,""offset"":1251\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":1419\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":1539\,""length"":2\,""segment"":""он""},{""label"":""pro""\,""offset"":1578\,""length"":2\,""segment"":""он""}"					https://toloka.yandex.ru/task/37911889/0002427d51--63fa09412a0186745849b0da	0002427d51--63f9e6ad6e98d13e2ac08cec	0002427d51--63fa09412a0186745849b0da	5e7d747e7586f521ad660369d9c84a79	SUBMITTED	2023-02-25T13:12:33.643		
