INPUT:id	INPUT:url	INPUT:name	INPUT:text	INPUT:title
17	https://онлайн-читать.рф/ильф-и-петров-12-стульев/#I	Мадам Кузнецова	Трое владельцев «Нимфы» стояли у своего заведения в тех же позах, в каких Ипполит Матвеевич оставил их утром. Казалось, с тех пор они не сказали друг другу ни слова, но разительная перемена в их лицах, таинственная удовлетворенность, томно мерцавшая в их глазах, показывала, что им известно кое-что значительное. При виде своих коммерческих врагов Безенчук отчаянно махнул рукой, остановился и зашептал вслед Воробьянинову: – Уступлю за тридцать два рублика. Ипполит Матвеевич поморщился и ускорил шаг. – Можно в кредит, – добавил Безенчук. Трое же владельцев «Нимфы» ничего не говорили. Они молча устремились вслед за Воробьяниновым, беспрерывно снимая на ходу картузы и вежливо кланяясь. Рассерженный вконец глупыми приставаниями гробовщиков, Ипполит Матвеевич быстрее обыкновенного взбежал на крыльцо, раздраженно соскреб о ступеньку грязь с сапог и, испытывая сильнейшие приступы аппетита, вошел в сени. Навстречу ему из комнаты вышел священник церкви Фрола и Лавра отец Федор, пышущий жаром. Подобрав правой рукой рясу и не замечая Ипполита Матвеевича, отец Федор пронесся к выходу. Тут Ипполит Матвеевич заметил излишнюю чистоту, новый, режущий глаза беспорядок в расстановке немногочисленной мебели и ощутил щекотание в носу, происшедшее от сильного лекарственного запаха. В первой комнате Ипполита Матвеевича встретила соседка, жена агронома мадам Кузнецова. Она зашипела и замахала руками:	12 стульев
9	https://онлайн-читать.рф/ильф-и-петров-12-стульев/#I	Молодой мужчина в пиджаке	– Товарищ, – сказала она, – где тут… Мужчина в пиджаке радостно вздохнул и, неожиданно для самого себя, гаркнул: – Сочетаться! Ипполит Матвеевич внимательно поглядел на перильца, за которыми стояла чета. – Рождение? Смерть? – Сочетаться, – повторил мужчина в пиджаке и растерянно оглянулся по сторонам. Девица прыснула. Дело было на мази. Ипполит Матвеевич с ловкостью фокусника принялся за работу. Записал старушечьим почерком имена новобрачных в толстые книги, строго допросил свидетелей, за которыми невеста сбегала во двор, долго и нежно дышал на квадратные штампы и, привстав, оттискивал их на потрепанных паспортах.[*] Приняв от молодоженов два рубля и выдавая квитанцию, Ипполит Матвеевич сказал, усмехнувшись: «За совершение таинства» – и поднялся во весь свой прекрасный рост, по привычке выкатив грудь (в свое время он нашивал корсет). Толстые желтые лучи солнца лежали на его плечах, как эполеты. Вид у него был несколько смешной, но необыкновенно торжественный. Двояковогнутые стекла пенсне пучились белым прожекторным светом. Молодые стояли, как барашки.	12 стульев
1	https://ilibrary.ru/text/1099/p.1/index.html	Облонская, Дарья Александровна (Долли), жена Степана Аркадьевича	"Глава 1
Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему.
Все смешалось в доме Облонских. Жена узнала, что муж был в связи с бывшею в их доме француженкою-гувернанткой, и объявила мужу, что не может жить с ним в одном доме. Положение это продолжалось уже третий день и мучительно чувствовалось и самими супругами, и всеми членами семьи, и домочадцами. Все члены семьи и домочадцы чувствовали, что нет смысла в их сожительстве и что на каждом постоялом дворе случайно сошедшиеся люди более связаны между собой, чем они, члены семьи и домочадцы Облонских. Жена не выходила из своих комнат, мужа третий день не было дома. Дети бегали по всему дому, как потерянные; англичанка поссорилась с экономкой и написала записку приятельнице, прося приискать ей новое место; повар ушел вчера со двора, во время самого обеда; черная кухарка и кучер просили расчета.
На третий день после ссоры князь Степан Аркадьич Облонский — Стива, как его звали в свете, — в обычный час, то есть в восемь часов утра, проснулся не в спальне жены, а в своем кабинете, на сафьянном диване. Он повернул свое полное, выхоленное тело на пружинах дивана, как бы желая опять заснуть надолго, с другой стороны крепко обнял подушку и прижался к ней щекой; но вдруг вскочил, сел на диван и открыл глаза."	Анна Каренина
7	https://ilibrary.ru/text/1099/p.2/index.html	Матвей, камердинер Степана Аркадьевича Облонского	"«Там видно будет», — сказал себе Степан Аркадьич и, встав, надел серый халат на голубой шелковой подкладке, закинул кисти узлом и, вдоволь забрав воздуха в свой широкий грудной ящик, привычным бодрым шагом вывернутых ног, так легко носивших его полное тело, подошел к окну, поднял стору и громко позвонил. На звонок тотчас же вошел старый друг, камердинер Матвей, неся платье, сапоги и телеграмму. Вслед за Матвеем вошел и цирюльник с припасами для бритья.
— Из присутствия есть бумаги? — спросил Степан Аркадьич, взяв телеграмму и садясь к зеркалу.
— На столе, — отвечал Матвей, взглянул вопросительно, с участием, на барина и, подождав немного, прибавил с хитрою улыбкой: — От хозяина извозчика приходили.
Степан Аркадьич ничего не ответил и только в зеркало взглянул на Матвея; во взгляде, которым они встретились в зеркале, видно было, как они понимают друг друга. Взгляд Степана Аркадьича как будто спрашивал: «Это зачем ты говоришь? разве ты не знаешь?»
Матвей положил руки в карманы своей жакетки, отставил ногу и молча, добродушно, чуть-чуть улыбаясь, посмотрел на своего барина.
— Я приказал прийти в то воскресенье, а до тех пор чтоб не беспокоили вас и себя понапрасну, — сказал он, видимо, приготовленную фразу.
Степан Аркадьич понял, что Матвей хотел пошутить и обратить на себя внимание. Разорвав телеграмму, он прочел ее, догадкой поправляя перевранные, как всегда, слова, и лицо его просияло."	Анна Каренина
6		Елена Васильевна Курагина, дочь князя Василия Курагина	"- Барон Функе рекомендован императрице-матери ее сестрою, - только сказала она грустным, сухим тоном. В то время, как Анна Павловна назвала императрицу, лицо ее вдруг представило глубокое и искреннее выражение преданности и уважения, соединенное с грустью, что с ней бывало каждый раз, когда она в разговоре упоминала о своей высокой покровительнице. Она сказала, что ее величество изволила оказать барону Функе много уважения, и опять взгляд ее подернулся грустью.
Князь равнодушно замолк. Анна Павловна, с свойственною ей придворною и женскою ловкостью и быстротою такта, захотела и щелконуть князя за то, что он дерзнул так отозваться о лице, рекомендованном императрице, и в то же время утешить его.
- Кстати о вашей семье, - сказала она, - знаете ли, что ваша дочь с тех пор, как выезжает, составляет восторг всего общества. Ее находят прекрасною, как день.
Князь наклонился в знак уважения и признательности.
- Я часто думаю, - продолжала Анна Павловна после минутного молчания, подвигаясь к князю и ласково улыбаясь ему, как будто выказывая этим, что политические и светские разговоры кончены и теперь начинается задушевный, - я часто думаю, как иногда несправедливо распределяется счастие жизни. За что вам судьба дала таких двух славных детей (исключая Анатоля, вашего меньшого, я его не люблю, - вставила она безапелляционно, приподняв брови) - таких прелестных детей? А вы, право, менее всех цените их и потому их не стоите.
И она улыбнулась своею восторженною улыбкой.
- Чего вы хотите? Лафатер сказал бы, что у меня нет шишки родительской любви, - сказал князь."	Война и мир
1	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	Князь Василий Курагин	"- Ну, что, князь, Генуа и Лукка стали не больше, как поместьями фамилии Бонапарте. Нет, я вас предупреждаю, если вы мне не скажете, что у нас война, если вы еще позволите себе защищать все гадости, все ужасы этого Антихриста (право, я верю, что он Антихрист) - я вас больше не знаю, вы уж не друг мой, вы уж не мой верный раб, как вы говорите. Ну, здравствуйте, здравствуйте. Я вижу, что я вас пугаю, садитесь и рассказывайте.
Так говорила в июле 1805 года известная Анна Павловна Шерер, фрейлина и приближенная императрицы Марии Феодоровны, встречая важного и чиновного князя Василия, первого приехавшего на ее вечер. Анна Павловна кашляла несколько дней, у нее был грипп , как она говорила (грипп был тогда новое слово, употреблявшееся только редкими). В записочках, разосланных утром с красным лакеем, было написано без различия во всех:
Если y вас, граф (или князь), нет в виду ничего лучшего и если перспектива вечера у бедной больной не слишком вас пугает, то я буду очень рада видеть вас нынче у себя между семью и десятью часами. Анна Шерер."	Война и мир
11	https://ilibrary.ru/text/12/p.6/index.html	Княжна Мери, дочь княгини Лиговской	"Я повернулся и пошел от него прочь. С полчаса гулял я по виноградным аллеям, по известчатым скалам и висящим между них кустарникам. Становилось жарко, и я поспешил домой. Проходя мимо кислосерного источника, я остановился у крытой галереи, чтоб вздохнуть под ее тенью, это доставило мне случай быть свидетелем довольно любопытной сцены. Действующие лица находились вот в каком положении. Княгиня с московским франтом сидела на лавке в крытой галерее, и оба были заняты, кажется, серьезным разговором. Княжна, вероятно допив уж последний стакан, прохаживалась задумчиво у колодца. Грушницкий стоял у самого колодца; больше на площадке никого не было.
Я подошел ближе и спрятался за угол галереи. В эту минуту Грушницкий уронил свой стакан на песок и усиливался нагнуться, чтоб его поднять: больная нога ему мешала. Бежняжка! как он ухитрялся, опираясь на костыль, и все напрасно. Выразительное лицо его в самом деле изображало страдание.
Княжна Мери видела все это лучше меня."	Герой нашего времени
11	https://ilibrary.ru/text/12/p.6/index.html	княгиня Лиговская	"Я повернулся и пошел от него прочь. С полчаса гулял я по виноградным аллеям, по известчатым скалам и висящим между них кустарникам. Становилось жарко, и я поспешил домой. Проходя мимо кислосерного источника, я остановился у крытой галереи, чтоб вздохнуть под ее тенью, это доставило мне случай быть свидетелем довольно любопытной сцены. Действующие лица находились вот в каком положении. Княгиня с московским франтом сидела на лавке в крытой галерее, и оба были заняты, кажется, серьезным разговором. Княжна, вероятно допив уж последний стакан, прохаживалась задумчиво у колодца. Грушницкий стоял у самого колодца; больше на площадке никого не было.
Я подошел ближе и спрятался за угол галереи. В эту минуту Грушницкий уронил свой стакан на песок и усиливался нагнуться, чтоб его поднять: больная нога ему мешала. Бежняжка! как он ухитрялся, опираясь на костыль, и все напрасно. Выразительное лицо его в самом деле изображало страдание.
Княжна Мери видела все это лучше меня."	Герой нашего времени
3	https://ilibrary.ru/text/439/p.1/index.html	Катерина Львовна Измайлова	Бездетность эта очень много огорчала Зиновия Борисыча, и не то что одного Зиновия Борисыча, а и старика Бориса Тимофеича, да даже и самоё Катерину Львовну это очень печалило. Раз, что скука непомерная в запертом купеческом терему с высоким забором и спущенными цепными собаками не раз наводила на молодую купчиху тоску, доходящую до одури, и она рада бы, бог весть как рада бы она была понянчиться с деточкой; а другое — и попреки ей надоели: «Чего шла да зачем шла замуж; зачем завязала человеку судьбу, неродица», словно и в самом деле она преступление какое сделала и перед мужем, и перед свекром, и перед всем их честным родом купеческим.	Леди Макбет Мценского уезда
2	https://ilibrary.ru/text/439/p.1/index.html	Катерина Львовна Измайлова	Катерина Львовна не родилась красавицей, но была по наружности женщина очень приятная. Ей от роду шел всего двадцать четвертый год; росту она была невысокого, но стройная, шея точно из мрамора выточенная, плечи круглые, грудь крепкая, носик прямой, тоненький, глаза черные, живые, белый высокий лоб и черные, аж досиня черные волосы. Выдали ее замуж за нашего купца Измайлова с Тускари из Курской губернии, не по любви или какому влечению, а так, потому что Измайлов к ней присватался, а она была девушка бедная, и перебирать женихами ей не приходилось. Дом Измайловых в нашем городе был не последний: торговали они крупчаткою, держали в уезде большую мельницу в аренде, имели доходный сад под городом и в городе дом хороший. Вообще купцы были зажиточные. Семья у них к тому же была совсем небольшая: свекор Борис Тимофеич Измайлов, человек уж лет под восемьдесят, давно вдовый; сын его Зиновий Борисыч, муж Катерины Львовны, человек тоже лет пятидесяти с лишком, да сама Катерина Львовна, и только всего. Детей у Катерины Львовны, пятый год, как она вышла за Зиновия Борисыча, не было. У Зиновия Борисыча не было детей и от первой жены, с которою он прожил лет двадцать, прежде чем овдовел и женился на Катерине Львовне. Думал он и надеялся, что даст ему бог хоть от второго брака наследника купеческому имени и капиталу; но опять ему в этом и с Катериной Львовной не посчастливилось.	Леди Макбет Мценского уезда
