INPUT:title	INPUT:id	INPUT:text	INPUT:name	INPUT:url
Война и мир	3	- Как вам сказать? - сказал князь холодным, скучающим тоном. - Что решили? Решили, что Бонапарте сжег свои корабли; и мы тоже, кажется, готовы сжечь наши. - Князь Василий говорил всегда лениво, как актер говорит роль старой пиесы. Анна Павловна Шерер, напротив, несмотря на свои сорок лет, была преисполнена оживления и порывов. Быть энтузиасткой сделалось ее общественным положением, и иногда, когда ей даже того не хотелось, она, чтобы не обмануть ожиданий людей, знавших ее, делалась энтузиасткой. Сдержанная улыбка, игравшая постоянно на лице Анны Павловны, хотя и не шла к ее отжившим чертам, выражала, как у избалованных детей, постоянное сознание своего милого недостатка, от которого она не хочет, не может и не находит нужным исправляться. В середине разговора про политические действия Анна Павловна разгорячилась.	Анна Павловна Шерер	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I
Война и мир	3	- Как вам сказать? - сказал князь холодным, скучающим тоном. - Что решили? Решили, что Бонапарте сжег свои корабли; и мы тоже, кажется, готовы сжечь наши. - Князь Василий говорил всегда лениво, как актер говорит роль старой пиесы. Анна Павловна Шерер, напротив, несмотря на свои сорок лет, была преисполнена оживления и порывов. Быть энтузиасткой сделалось ее общественным положением, и иногда, когда ей даже того не хотелось, она, чтобы не обмануть ожиданий людей, знавших ее, делалась энтузиасткой. Сдержанная улыбка, игравшая постоянно на лице Анны Павловны, хотя и не шла к ее отжившим чертам, выражала, как у избалованных детей, постоянное сознание своего милого недостатка, от которого она не хочет, не может и не находит нужным исправляться. В середине разговора про политические действия Анна Павловна разгорячилась.	Князь Василий Курагин	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I
Анна Каренина	4	С ним случилось в эту минуту то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком постыдном. Он не сумел приготовить свое лицо к тому положению, в которое он становился перед женой после открытия его вины. Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить прощения, оставаться даже равнодушным — все было бы лучше того, что он сделал! — его лицо совершенно невольно («рефлексы головного мозга», — подумал Степан Аркадьич, который любил физиологию), совершенно невольно вдруг улыбнулось привычною, доброю и потому глупою улыбкой. Эту глупую улыбку он не мог простить себе. Увидав эту улыбку, Долли вздрогнула, как от физической боли, разразилась, со свойственною ей горячностью, потоком жестоких слов и выбежала из комнаты. С тех пор она не хотела видеть мужа. «Всему виной эта глупая улыбка», — думал Степан Аркадьич. «Но что ж делать? что ж делать?» — с отчаянием говорил он себе и не находил ответа.	Дарья Александровна (Долли) Облонская, жена Степана Аркадьевича	https://ilibrary.ru/text/1099/p.1/index.html
Анна Каренина	4	С ним случилось в эту минуту то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком постыдном. Он не сумел приготовить свое лицо к тому положению, в которое он становился перед женой после открытия его вины. Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить прощения, оставаться даже равнодушным — все было бы лучше того, что он сделал! — его лицо совершенно невольно («рефлексы головного мозга», — подумал Степан Аркадьич, который любил физиологию), совершенно невольно вдруг улыбнулось привычною, доброю и потому глупою улыбкой. Эту глупую улыбку он не мог простить себе. Увидав эту улыбку, Долли вздрогнула, как от физической боли, разразилась, со свойственною ей горячностью, потоком жестоких слов и выбежала из комнаты. С тех пор она не хотела видеть мужа. «Всему виной эта глупая улыбка», — думал Степан Аркадьич. «Но что ж делать? что ж делать?» — с отчаянием говорил он себе и не находил ответа.	Степан Аркадьевич Облонский	https://ilibrary.ru/text/1099/p.1/index.html
Анна Каренина	6	«Ах, ужасно! ай, ай, ай! ужасно! — твердил себе Степан Аркадьич и ничего не мог придумать. — И как хорошо все это было до этого, как мы хорошо жили! Она была довольна, счастлива детьми, я не мешал ей ни в чем, предоставлял ей возиться с детьми, с хозяйством, как она хотела. Правда, нехорошо, что она была гувернанткой у нас в доме. Нехорошо! Есть что-то тривиальное, пошлое в ухаживанье за своею гувернанткой. Но какая гувернантка! (Он живо вспомнил черные плутовские глаза m-lle Roland и ее улыбку.) Но ведь пока она была у нас в доме, я не позволял себе ничего. И хуже всего то, что она уже... Надо же это все как нарочно. Ай, ай, ай! Аяяй! Но что же, что же делать?» Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы. Ответ этот: надо жить потребностями дня, то есть забыться. Забыться сном уже нельзя, по крайней мере до ночи, нельзя уже вернуться к той музыке, которую пели графинчики-женщины; стало быть, надо забыться сном жизни.	Степан Аркадьевич Облонский	https://ilibrary.ru/text/1099/p.2/index.html
Анна Каренина	6	«Ах, ужасно! ай, ай, ай! ужасно! — твердил себе Степан Аркадьич и ничего не мог придумать. — И как хорошо все это было до этого, как мы хорошо жили! Она была довольна, счастлива детьми, я не мешал ей ни в чем, предоставлял ей возиться с детьми, с хозяйством, как она хотела. Правда, нехорошо, что она была гувернанткой у нас в доме. Нехорошо! Есть что-то тривиальное, пошлое в ухаживанье за своею гувернанткой. Но какая гувернантка! (Он живо вспомнил черные плутовские глаза m-lle Roland и ее улыбку.) Но ведь пока она была у нас в доме, я не позволял себе ничего. И хуже всего то, что она уже... Надо же это все как нарочно. Ай, ай, ай! Аяяй! Но что же, что же делать?» Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы. Ответ этот: надо жить потребностями дня, то есть забыться. Забыться сном уже нельзя, по крайней мере до ночи, нельзя уже вернуться к той музыке, которую пели графинчики-женщины; стало быть, надо забыться сном жизни.	Дарья Александровна (Долли) Облонская, жена Степана Аркадьевича	https://ilibrary.ru/text/1099/p.2/index.html
Отцы и дети	7	— Надеюсь, любезнейший Евгений Васильич, что вы не соскучитесь у нас, — продолжал Николай Петрович. Тонкие губы Базарова чуть тронулись; но он ничего не отвечал и только приподнял фуражку. Его темно-белокурые волосы, длинные и густые, не скрывали крупных выпуклостей просторного черепа. — Так как же, Аркадий, — заговорил опять Николай Петрович, оборачиваясь к сыну, — сейчас закладывать лошадей, что ли? Или вы отдохнуть хотите? — Дома отдохнем, папаша; вели закладывать. — Сейчас, сейчас, — подхватил отец. — Эй, Петр, слышишь? Распорядись, братец, поживее. Петр, который в качестве усовершенствованного слуги не подошел к ручке барича, а только издали поклонился ему, снова скрылся под воротами. — Я здесь с коляской, но и для твоего тарантаса есть тройка, — хлопотливо говорил Николай Петрович, между тем как Аркадий пил воду из железного ковшика, принесенного хозяйкой постоялого двора, а Базаров закурил трубку и подошел к ямщику, отпрягавшему лошадей, — только коляска двухместная, и вот я не знаю, как твой приятель... — Он в тарантасе поедет, — перебил вполголоса Аркадий. — Ты с ним, пожалуйста, не церемонься. Он чудесный малый, такой простой — ты увидишь. Кучер Николая Петровича вывел лошадей. — Ну, поворачивайся, толстобородый! — обратился Базаров к ямщику. — Слышь, Митюха, — подхватил другой тут же стоявший ямщик с руками, засунутыми в задние прорехи тулупа, — барин-то тебя как прозвал? Толстобородый и есть.	Николай Петрович Кирсанов	https://ilibrary.ru/text/96/p.2/index.html
Отцы и дети	7	— Надеюсь, любезнейший Евгений Васильич, что вы не соскучитесь у нас, — продолжал Николай Петрович. Тонкие губы Базарова чуть тронулись; но он ничего не отвечал и только приподнял фуражку. Его темно-белокурые волосы, длинные и густые, не скрывали крупных выпуклостей просторного черепа. — Так как же, Аркадий, — заговорил опять Николай Петрович, оборачиваясь к сыну, — сейчас закладывать лошадей, что ли? Или вы отдохнуть хотите? — Дома отдохнем, папаша; вели закладывать. — Сейчас, сейчас, — подхватил отец. — Эй, Петр, слышишь? Распорядись, братец, поживее. Петр, который в качестве усовершенствованного слуги не подошел к ручке барича, а только издали поклонился ему, снова скрылся под воротами. — Я здесь с коляской, но и для твоего тарантаса есть тройка, — хлопотливо говорил Николай Петрович, между тем как Аркадий пил воду из железного ковшика, принесенного хозяйкой постоялого двора, а Базаров закурил трубку и подошел к ямщику, отпрягавшему лошадей, — только коляска двухместная, и вот я не знаю, как твой приятель... — Он в тарантасе поедет, — перебил вполголоса Аркадий. — Ты с ним, пожалуйста, не церемонься. Он чудесный малый, такой простой — ты увидишь. Кучер Николая Петровича вывел лошадей. — Ну, поворачивайся, толстобородый! — обратился Базаров к ямщику. — Слышь, Митюха, — подхватил другой тут же стоявший ямщик с руками, засунутыми в задние прорехи тулупа, — барин-то тебя как прозвал? Толстобородый и есть.	Евгений Базаров	https://ilibrary.ru/text/96/p.2/index.html
Отцы и дети	8	Митюха только шапкой тряхнул и потащил вожжи с потной коренной. — Живей, живей, ребята, подсобляйте, — воскликнул Николай Петрович, — на водку будет! В несколько минут лошади были заложены; отец с сыном поместились в коляске; Петр взобрался на козлы; Базаров вскочил в тарантас, уткнулся головой в кожаную подушку — и оба экипажа покатили.	Аркадий Кирсанов, сын Николая Петровича Кирсанова	https://ilibrary.ru/text/96/p.2/index.html
Отцы и дети	8	Митюха только шапкой тряхнул и потащил вожжи с потной коренной. — Живей, живей, ребята, подсобляйте, — воскликнул Николай Петрович, — на водку будет! В несколько минут лошади были заложены; отец с сыном поместились в коляске; Петр взобрался на козлы; Базаров вскочил в тарантас, уткнулся головой в кожаную подушку — и оба экипажа покатили.	Николай Петрович Кирсанов	https://ilibrary.ru/text/96/p.2/index.html
